Iteration,Scaler,Transformer,Metric,Seed,SI,DBI,Score
203,Standard,MDS,euclidean,74567,0.25280905816967564,0.5483300876432374,-0.021355985651943077
205,Standard,Isomap,correlation,67884,0.540429295456866,0.24351877054378043,0.4186699101849758
206,MaxAbs,MDS,correlation,54863,0.5118003833097095,0.39723894088778183,0.3131809128658185
208,Standard,MDS,cosine,97471,0.37777751104375956,0.43102654245184685,0.16226423981783614
210,Robust,Spectral,correlation,86744,0.3317913896082411,0.5202875959506786,0.0716475916329018
211,Robust,MDS,manhattan,41862,0.22073357661489576,0.5722146177906654,-0.06537373228043694
212,Standard,MDS,manhattan,55568,0.24990604316327436,0.5432855404508352,-0.021736727062143246
213,MinMax,Spectral,euclidean,97429,0.4930958257500773,0.16994672640490416,0.40812246254762524
216,MaxAbs,Isomap,cosine,35305,0.5375926097898723,0.31587540421006344,0.3796549076848406
225,MaxAbs,Isomap,euclidean,19464,0.32840664933357383,0.47310888556314173,0.09185220655200296
226,MinMax,Spectral,cosine,57526,0.33864653804867234,0.529482365530575,0.07390535528338482
227,MaxAbs,Isomap,euclidean,94625,0.26319954278138175,0.5013465924021255,0.012526246580318978
229,Standard,Spectral,manhattan,61724,0.27386925420554326,0.6096953619177853,-0.030978426753349386
230,Standard,Spectral,cosine,54474,0.32942330194487757,0.5192548279286854,0.06979588798053488
231,Standard,Spectral,euclidean,36695,0.34255542634978936,0.6170989590615613,0.0340059468190087
232,Robust,Spectral,cosine,50757,0.27219215565017635,0.6159837835108112,-0.03579973610522924
234,Robust,MDS,euclidean,47217,0.17233437591886513,0.786894910579124,-0.22111307937069685
235,Robust,Spectral,cosine,15234,0.4595370524216031,0.46534816506307924,0.22686296989006347
238,MaxAbs,Isomap,manhattan,23391,0.25194470659980733,0.5289088007696704,-0.012509693785027864
240,MinMax,Spectral,cosine,63390,0.297416096419692,0.296800050718715,0.14901607106033452
241,MaxAbs,Isomap,correlation,518,0.5483334729552607,0.30441226084543954,0.3961273425325409
242,MinMax,Isomap,manhattan,80161,0.2327172032988656,0.5742980138807536,-0.054431803641511206
